Transaction Month and Year,Make,Model,Model Year,Vehicle Color,Vehicle Type,Vehicle Primary Use,Fuel Type Primary,Fuel Type Secondary,Gross Vehicle Weight Rating Class,Gross Vehicle Weight Rating Range (lbs),Electrification Level,Plate Background,Plate Configuration,Owner Type,County,State,Postal Code,Transaction Type,Transaction Channel,2020 GEOID,Transaction Count
2023-10-01,KIA,SPECTRA,2006,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98642,Registration Renewal,In-person,53011040301,1
2023-10-01,TOYOTA,COROLLA,2007,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98027,Registration Renewal,Online,53033032102,1
2024-08-01,NISSAN,XTERRA,2013,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Douglas,WA,98802,Registration at time of Transfer,In-person,53017950600,1
2024-04-01,TOYOTA,4-RUNNER,2000,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99224,Registration Renewal,Online,53063003800,1
2024-03-01,NISSAN,VERSA,2021,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98011,Original Registration,In-person,53033021802,1
2024-06-01,TOYOTA,COROLLA,2016,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99354,Registration Renewal,Online,53005010100,1
2024-06-01,TOYOTA,RAV4,2008,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99354,Registration Renewal,Online,53005010300,1
2023-09-01,FORD,F-350,2006,BLUE,TRUCK,Truck,Diesel,,3,"10,001 - 14,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98270,Registration Renewal,Online,53061052810,1
2024-03-01,TOYOTA,CAMRY,2022,,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1,"6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Cowlitz,WA,98632,Registration at time of Transfer,In-person,53015000703,1
2023-09-01,TOYOTA,HIGHLANDER,2021,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98233,Registration Renewal,In-person,53057951700,1
2024-02-01,HONDA,ACCORD,2010,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98208,Registration Renewal,In-person,53061041701,1
2024-01-01,JEEP,LIBERTY,2011,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Armed Forces/Marine Corp,Standard,Individual Owner,Pierce,WA,98391,Registration Renewal,In-person,53053070314,1
2024-05-01,VOLKSWAGEN,GOLF,2004,BLUE,PASSENGER CAR,Passenger Vehicle,Diesel,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98108,Registration Renewal,In-person,53033010402,1
2023-09-01,MERCURY,MILAN,2009,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98037,Registration Renewal,In-person,53061051602,1
2023-11-01,FORD,TAURUS,1999,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98404,Registration Renewal,In-person,53053071601,1
2024-07-01,BMW,M8,2024,,PASSENGER CAR,Passenger Vehicle,Gasoline,,,,ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98006,Original Registration,In-person,53033024800,1
2023-12-01,VOLKSWAGEN,PASSAT,2020,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98311,Registration at time of Transfer,In-person,53035091701,1
2024-07-01,TOYOTA,HIGHLANDER,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98290,Registration Renewal,Online,53061052203,1
2024-06-01,FORD,ESCAPE,2001,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98230,Registration at time of Transfer,In-person,53073010406,1
2023-12-01,TOYOTA,RAV4,2017,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98240,Registration Renewal,Mail-in,53073010408,1
2023-12-01,JEEP,GRAND WAGONEER,2023,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),WA National Park Fund,Standard,Individual Owner,Spokane,WA,99001,Original Registration,In-person,53063010401,1
2024-07-01,TOYOTA,CAMRY,1998,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98144,Registration Renewal,Online,53033010002,1
2024-06-01,CHEVROLET,HHR,2009,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98126,Registration Renewal,In-person,53033009900,1
2024-08-01,TOYOTA,RAV4,2024,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1C,"4,001 - 5,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Yakima,WA,98953,Original Registration,In-person,53077002202,1
2024-03-01,CHEVROLET,SILVERADO,2001,WHITE,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99205,Registration Renewal,In-person,53063001100,1
2024-07-01,SUBARU,FORESTER,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98466,Registration Renewal,Online,53053072307,1
2023-09-01,TOYOTA,CAMRY,1998,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98665,Registration Renewal,In-person,53011040808,1
2024-04-01,GMC,SAFARI,1996,,INCOMPLETE VEHICLE,Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99336,Registration at time of Transfer,In-person,53005011100,1
2024-05-01,SUBARU,FORESTER,2015,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98133,Registration Renewal,Online,53033021000,1
2024-02-01,LAND ROVER,RANGE ROVER EVOQUE,2021,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98027,Registration Renewal,In-person,53033032103,1
2024-07-01,LINCOLN,CORSAIR,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98338,Registration Renewal,Online,53053073116,1
2024-01-01,TESLA,MODEL X,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Electric,,2E,"6,001 - 7,000",BEV (Battery Electric Vehicle),Standard Plate,Standard,Business Owner,King,WA,98077,Original Registration,In-person,53033032326,1
2024-03-01,FORD,C-MAX,2016,,PASSENGER CAR,Passenger Vehicle,Hybrid,Gasoline,1,"6,000",PHEV (Plug-in Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,Jefferson,WA,98325,Registration Renewal,Online,53031950301,1
2023-09-01,NISSAN,ALTIMA,2007,BRONZE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clallam,WA,98362,Registration at time of Transfer,In-person,53009001100,1
2023-12-01,TOYOTA,COROLLA,2013,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99320,Registration Renewal,Online,53005010701,1
2024-05-01,HONDA,PASSPORT,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98837,Registration Renewal,Mail-in,53025010901,1
2024-05-01,FORD,F-150,2008,WHITE,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98106,Registration Renewal,In-person,53033011300,1
2024-08-01,MAZDA,MAZDA6,2009,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98903,Registration at time of Transfer,In-person,53077001400,1
2024-01-01,CHEVROLET,CAMARO,2020,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98273,Registration at time of Transfer,In-person,53057952600,1
2023-11-01,HONDA,ODYSSEY,2007,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Gasoline,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Franklin,WA,99301,Registration at time of Transfer,In-person,53021020404,1
2024-04-01,SUBARU,OUTBACK,2022,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Okanogan,WA,98855,Registration Renewal,In-person,53047970302,1
2024-05-01,TOYOTA,TUNDRA,2023,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98625,Registration Renewal,Online,53015001601,1
2023-09-01,GMC,YUKON,2006,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98042,Registration Renewal,Online,53033031708,1
2024-08-01,HONDA,CIVIC,2024,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98003,Original Registration,In-person,53033030003,1
2024-04-01,SUBARU,FORESTER,2014,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98290,Registration Renewal,Online,53061052302,1
2024-07-01,RAM,1500,2017,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Ferry,WA,99150,Registration Renewal,Online,53019970100,1
2024-03-01,KIA,SORENTO,2022,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Island,WA,98282,Registration Renewal,Online,53029971400,1
2023-09-01,DODGE,RAM,2005,MAROON / BURGUNDY,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98375,Registration at time of Transfer,In-person,53053073127,1
2024-01-01,RAM,1500,2020,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99224,Registration Renewal,Online,53063010403,1
2024-08-01,TOYOTA,HIGHLANDER,2006,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Electric,1D,"5,001 - 6,000",Strong HEV (Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,Whatcom,WA,98226,Registration at time of Transfer,In-person,53073010600,1
2024-06-01,YAMAHA,XC125 VINO 125 / YJ125 (CANADA),2006,BLUE,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98188,Registration Renewal,Online,53033028300,2
2024-06-01,CHRYSLER,300,2007,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Unknown or Out of State,CA,92553,Registration Renewal,Online,06065042514,1
2024-04-01,HONDA,FIT,2009,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98144,Registration Renewal,Online,53033009400,1
2024-04-01,MAZDA,CX-9,2017,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98029,Registration Renewal,Online,53033032222,1
2024-03-01,DODGE,JOURNEY,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Flexible Fuel Vehicle (FFV),,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98837,Registration Renewal,In-person,53025011101,1
2023-09-01,DODGE,CHARGER,2006,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98133,Registration at time of Transfer,In-person,53033021000,1
2024-01-01,CHEVROLET,EQUINOX,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98311,Registration Renewal,In-person,53035091204,1
2024-07-01,FORD,ESCAPE,2013,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98371,Registration at time of Transfer,In-person,53053940009,1
2024-05-01,CHRYSLER,300,2012,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98252,Registration at time of Transfer,In-person,53061053605,1
2024-03-01,SUBARU,OUTBACK,2008,BROWN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98903,Registration at time of Transfer,In-person,53077002801,1
2023-09-01,VOLKSWAGEN,EUROVAN,1997,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98177,Registration Renewal,Online,53033000402,1
2023-11-01,LEXUS,RX,2012,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Electric,1D,"5,001 - 6,000",Strong HEV (Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98002,Registration Renewal,Online,53033030802,1
2023-12-01,HONDA,ODYSSEY,2005,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98662,Registration Renewal,In-person,53011040703,1
2024-06-01,AUDI,Q5,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98001,Registration Renewal,Online,53033029902,1
2024-08-01,MASERATI,LEVANTE,2017,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98198,Registration at time of Transfer,In-person,53033029001,1
2024-07-01,LEXUS,RX,2010,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Electric,1D,"5,001 - 6,000",Strong HEV (Hybrid Electric Vehicle),Standard Personalized Plate,Personalized,Individual Owner,King,WA,98042,Registration Renewal,Online,53033031601,1
2024-03-01,GMC,ACADIA,2014,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98837,Registration at time of Transfer,In-person,53025010800,1
2024-06-01,GMC,SIERRA,2024,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98391,Original Registration,In-person,53053070314,1
2024-08-01,KIA,SPECTRA,2009,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99205,Registration Renewal,In-person,53063001100,1
2024-05-01,SUBARU,IMPREZA,2004,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98597,Registration Renewal,Online,53067012532,1
2024-05-01,TOYOTA,C-HR,2018,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98665,Registration Renewal,In-person,53011040809,1
2023-10-01,TESLA,MODEL Y,2021,,PASSENGER CAR,Passenger Vehicle,Electric,,1D,"5,001 - 6,000",BEV (Battery Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98005,Registration Renewal,Online,53033023601,1
